year,song_title,artist_credit_name,artist_name,language_name,iso_code_3t,release_country_code,artist_country_code,track_id,recording_id,release_id,artist_id,likely_french_score,genre_name,genius_found,genius_song_id,genius_title,genius_artist,genius_url,genius_match_score,lyrics_found,lyrics_text,lyrics_source
1930.0,Dolorita,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42981455,35339055,3942468.0,223745.0,7,,False,,,,,0.0,False,,
1930.0,Musette,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42999644,29040137,3944312.0,223745.0,7,,True,158803.0,Villette (Chap. 39),Charlotte Brontë,https://genius.com/Charlotte-bronte-villette-chap-39-annotated,0.3,False,,
1930.0,Fleur de misère,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42999645,3553451,3944312.0,223745.0,8,,True,2082162.0,Les roses blanches,Berthe Sylva,https://genius.com/Berthe-sylva-les-roses-blanches-lyrics,0.5864,False,,
1930.0,Détresse,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43000115,35353601,3944329.0,223745.0,7,,True,3319541.0,Poetisas no Topo,NaBrisa,https://genius.com/Nabrisa-azzy-souto-mc-bivolt-drik-barbosa-mariana-mello-and-karol-de-souza-poetisas-no-topo-lyrics,0.3099,False,,
1930.0,La Vieille Auberge,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43001963,35355010,3944453.0,223745.0,8,,False,,,,,0.0,False,,
1932.0,China Boy,Les French Hot Boys,Les French Hot Boys,English,eng,FR,FR,11271797,12834653,1083602.0,832762.0,4,,True,464812.0,Chapter 2,Marcel Proust,https://genius.com/Marcel-proust-chapter-2-annotated,0.3545,False,,
1932.0,Some of These Days,Les French Hot Boys,Les French Hot Boys,English,eng,FR,FR,11271798,12834654,1083602.0,832762.0,4,,True,4235490.0,The 200 Best Songs of the 1960s,Pitchfork,https://genius.com/Pitchfork-the-200-best-songs-of-the-1960s-annotated,0.3403,False,,
1930.0,Adoration,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43013230,35363534,3945987.0,223745.0,7,,True,2213811.0,Why Have There Been No Great Women Artists?,Linda Nochlin,https://genius.com/Linda-nochlin-why-have-there-been-no-great-women-artists-annotated,0.206,False,,
1930.0,"Aimer, souffrir, mourir",Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43013231,3553452,3945987.0,223745.0,7,,False,,,,,0.0,False,,
1931.0,Je suis Brac...,Bach,Bach,,,FR,FR,35532879,30024350,3122889.0,477395.0,4,,True,49043.0,Saddam Hauts-de-Seine,Booba,https://genius.com/Booba-saddam-hauts-de-seine-lyrics,0.2639,False,,
1931.0,On n'm'a pas,Bach,Bach,,,FR,FR,35532880,30024351,3122889.0,477395.0,4,,True,2980458.0,Ma Ajebtinich,Hoba Hoba Spirit,https://genius.com/Hoba-hoba-spirit-ma-ajebtinich-lyrics,0.313,False,,
1927.0,Creole Love Call (Llamada Criolla de Amor),Duke Ellington Et Son Orchestre,Duke Ellington and His Orchestra,English,eng,FR,US,35578426,30058427,3127382.0,33800.0,3,,False,,,,,0.0,False,,
1931.0,Tu m’oublieras,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43027537,3553454,3947574.0,223745.0,7,,False,,,,,0.0,False,,
1931.0,La Douceur d’aimer,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43027538,17235207,3947574.0,223745.0,8,,False,,,,,0.0,False,,
1931.0,C’est un tout petit,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43027686,35327303,3947580.0,223745.0,8,,True,2082162.0,Les roses blanches,Berthe Sylva,https://genius.com/Berthe-sylva-les-roses-blanches-lyrics,0.5257,False,,
1931.0,Lorsque je vois tes yeux,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43027687,35372965,3947580.0,223745.0,7,,False,,,,,0.0,False,,
1931.0,Cœur de voyou,"Mme Berthe Sylva, des Concerts Parisiens",Berthe Sylva,French,fra,FR,FR,43028430,17235198,3947652.0,223745.0,8,,False,,,,,0.0,False,,
1932.0,Musette-java,Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43038523,35380559,3948808.0,223745.0,7,,False,,,,,0.0,False,,
1932.0,Gosse de misère,Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43038524,3553624,3948808.0,223745.0,8,,True,2082162.0,Les roses blanches,Berthe Sylva,https://genius.com/Berthe-sylva-les-roses-blanches-lyrics,0.547,False,,
1930.0,Le Tango des fauvettes,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43000114,3553460,3944329.0,223745.0,8,,False,,,,,0.0,False,,
1930.0,Bonhomme Noël,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,43001964,18777381,3944453.0,223745.0,7,,True,151206.0,Finnegans Wake (Chap. 2.3),James Joyce,https://genius.com/James-joyce-finnegans-wake-chap-23-annotated,0.1609,False,,
1929.0,Le Raccommodeur de faïence,Mme Berthe Sylva,Berthe Sylva,French,fra,FR,FR,42963471,32445406,3940194.0,223745.0,8,,False,,,,,0.0,False,,
1925.0,Werther : Air des larmes,Marthe Chenal,Marthe Chenal,French,fra,FR,FR,35257639,29828927,3096255.0,2018999.0,8,,True,241316.0,Black Panthers: Behind the Myth,The Guardian,https://genius.com/The-guardian-black-panthers-behind-the-myth-annotated,0.4,False,,
1925.0,Carmen : Habanera,Marthe Chenal,Marthe Chenal,French,fra,FR,FR,35257640,29828928,3096255.0,2018999.0,7,,True,362563.0,State of the Union 1912,William Howard Taft,https://genius.com/William-howard-taft-state-of-the-union-1912-annotated,0.2394,False,,
1929.0,Mariette : Acte II. Scène finale (1st part),"Sacha Guitry, Yvonne Printemps",Sacha Guitry,French,fra,FR,FR,36568086,30773534,3231809.0,561426.0,7,,False,,,,,0.0,False,,
1929.0,Mariette : Acte II. Scène finale (2nd part),"Sacha Guitry, Yvonne Printemps",Sacha Guitry,French,fra,FR,FR,36568087,30773535,3231809.0,561426.0,7,,False,,,,,0.0,False,,
1931.0,Rôdeuse de barrière,"Madame Berthe Sylva, des Concerts Parisiens",Berthe Sylva,French,fra,FR,FR,43024264,18666951,3947255.0,223745.0,8,,False,,,,,0.0,False,,
1931.0,Rupture,"Madame Berthe Sylva, des Concerts Parisiens",Berthe Sylva,French,fra,FR,FR,43024265,35370644,3947255.0,223745.0,7,,True,181579.0,Ulysses (Chap. 16 - Eumaeus),James Joyce,https://genius.com/James-joyce-ulysses-chap-16-eumaeus-annotated,0.2094,False,,
1931.0,Les Pêcheurs de perles (sélection) ‐ (1re partie),Bizet,Georges Bizet,English,eng,FR,FR,36724292,30885692,3248262.0,12441.0,5,,False,,,,,0.0,False,,
1931.0,Les Pêcheurs de perles (sélection) ‐ (2e partie),Bizet,Georges Bizet,English,eng,FR,FR,36724293,30885693,3248262.0,12441.0,5,,False,,,,,0.0,False,,
1931.0,La Java argentine,"Paul Gesky, Orchestre Ultraphone, A. Bernard",Paul Gesky,French,fra,FR,FR,36724885,30886122,3248348.0,470818.0,8,,False,,,,,0.0,False,,
1931.0,Tu ne m’oublieras pas,"Paul Gesky, Orchestre Ultraphone, A. Bernard",Paul Gesky,French,fra,FR,FR,36724886,30886123,3248348.0,470818.0,7,,False,,,,,0.0,False,,
1931.0,Pauvre Mimi,Danielle Darrieux,Danielle Darrieux,French,fra,FR,FR,39007982,11288925,3496711.0,69931.0,7,,False,,,,,0.0,False,,
1931.0,Ça s’appelle l’amour,Danielle Darrieux,Danielle Darrieux,French,fra,FR,FR,39007983,11288926,3496711.0,69931.0,8,,False,,,,,0.0,False,,
1931.0,Le Beau Dimanche,"Darrieux, Mlle Lemichel du Roy, M. Grandini",Danielle Darrieux,French,fra,FR,FR,39007984,11288923,3496712.0,69931.0,8,,True,2986400.0,Veillée Pinouilles - Chapitre 10,James Joyce,https://genius.com/James-joyce-veillee-pinouilles-chapitre-10-annotated,0.2646,False,,
1930.0,Paris je t’aime d’amour,Maurice Chevalier,Maurice Chevalier,French,fra,FR,FR,39276168,32689108,3527813.0,4033.0,8,,True,2097988.0,Paris je t’aime d’amour,Maurice Chevalier,https://genius.com/Maurice-chevalier-paris-je-taime-damour-lyrics,1.0,True,"1 Contributor
Paris je t’aime d’amour Lyrics
(Verse)
Ô mon Paris ville idéale
Il faut quitter dès ce soir
Adieu, ma belle capitale
Adieu, non, au revoir !
(Chorus 1)
Paris je t'aime, je t'aime, je t'aime
Avec ivresse
Comme une maîtresse
Tu m'oublieras bien vite et pourtant
Mon coeur est tout chaviré en te quittant
Je peux te dire
Qu'avec ton sourire
Tu m'as pris l'âme
Ainsi qu'une femme
Tout en moi est à toi pour toujours
Paris je t'aime, oui ! d'amour !
(Chorus 2)
Paris je t'aime, je t'aime, je t'aime, je t'aime
Mais voyons !
Puisque j'te dis que j’t'aime, allons !
Pour les caresses
De milles maîtresses
Ell’s m'oublieront bien vite et pourtant
Moi j'leur faisais j'me souviendrais bien longtemps
L’un’ après et l'une
La blond’ et la brune
M'ont fait sans phrase
Goûter mille extases
J'te l'jure que j't'appartiens pour toujours
Paris, je t'aime ? et comment ! - d'amour !",genius
1930.0,Nouveau Bonheur,Maurice Chevalier,Maurice Chevalier,French,fra,FR,FR,39276169,32689109,3527813.0,4033.0,7,,True,7996056.0,Bonne année,Maurice Chevalier,https://genius.com/Maurice-chevalier-bonne-annee-lyrics,0.55,False,,
1926.0,Coppélia: Prelude et Mazurka,Léo Delibes,Léo Delibes,English,eng,US,FR,10642877,12241180,814289.0,38542.0,3,,False,,,,,0.0,False,,
1926.0,Le Dernier Sommeil de la Vierge (The Last Slumber of a Virgin),Jules Massenet,Jules Massenet,English,eng,US,FR,10642878,12241181,814289.0,44429.0,3,,False,,,,,0.0,False,,
1930.0,Ta voix,"Mme Nitta-Jo, de l'Empire",Nitta-Jo,French,fra,FR,FR,47279466,22676251,4432982.0,603644.0,7,,False,,,,,0.0,False,,
1930.0,Sainte Catherine de Paris,"Mme Nitta-Jo, de l'Empire",Nitta-Jo,French,fra,FR,FR,47279467,38427919,4432982.0,603644.0,8,,False,,,,,0.0,False,,
1931.0,Tango des roses,"Mme Nitta-Jo, de l'Empire",Nitta-Jo,French,fra,FR,FR,47282856,38427921,4433449.0,603644.0,8,,False,,,,,0.0,False,,
